"N","Author","Year","Species","Genus","Family","F.H","Life.form","Sp.origin","Approach","Response","Phase1.m.ori","Phase1.m","Phase1.culti","Experimental.setting","SoilTp","Phase2.grow","Phase2.time","Source","rr","var","Latitude","Longitude","Latitude.abs","MAT","MAP","AI","group","hop_code","hop_score","provenance_confidence","decisive_basis","inherited_rule_id","coder_a_code","coder_b_code"
"858","Kardol et al. 2006","2006","Late successional community","Late","Mixed","Field","Nonwoody","Native","Self-Other","Aboveground","Field","Field","Community","Greenhouse","Inoculum","Competition","5","Figure 1","0.230523659","0.003042515","52.1","5.84","52.1","9.387499809","864","1.102","Nonwoody Field","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"859","Kardol et al. 2006","2006","Late successional community","Late","Mixed","Field","Nonwoody","Native","Self-Other","Aboveground","Field","Field","Community","Greenhouse","Inoculum","Competition","5","Figure 1","0.194156014","0.002768166","52.1","5.84","52.1","9.387499809","864","1.102","Nonwoody Field","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"860","Kardol et al. 2006","2006","Mid successional community","Mid","Mixed","Field","Nonwoody","Native","Self-Other","Aboveground","Field","Field","Community","Greenhouse","Inoculum","Competition","5","Figure 1","-0.055059777","0.003359421","52.01","5.91","52.01","9.570833206","862","1.0741","Nonwoody Field","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"861","Kardol et al. 2006","2006","Mid successional community","Mid","Mixed","Field","Nonwoody","Native","Self-Other","Aboveground","Field","Field","Community","Greenhouse","Inoculum","Competition","5","Figure 1","-0.018692133","0.018628254","52.01","5.91","52.01","9.570833206","862","1.0741","Nonwoody Field","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"862","Kulmatiski et al. 2006","2006","Exotic species mix ","Exotic","Mixed","Field","Nonwoody","Non-native","Self-Other","Aboveground","Field","Field","Community","Field","Whole soil","Competition","36","Figure 1","1.433547246","0.031946814","48.61666667","-107.1666667","48.61666667","5.383333206","306.7","0.2342","Nonwoody Field","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field. Direct field conditioning and in-situ feedback response support H1; the experimental approach does not support H0.","RECON-H1-FIELD-CONDITIONING-FIELD-FEEDBACK","H1","H1"
"863","Kulmatiski et al. 2006","2006","Native species mix","Native","Mixed","Field","Nonwoody","Native","Self-Other","Aboveground","Field","Field","Community","Field","Whole soil","Competition","36","Figure 1","0.268263987","0.020471744","48.61666667","-107.1666667","48.61666667","5.383333206","306.7","0.2342","Nonwoody Field","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field. Direct field conditioning and in-situ feedback response support H1; the experimental approach does not support H0.","RECON-H1-FIELD-CONDITIONING-FIELD-FEEDBACK","H1","H1"
"864","Blank and Sforza 2007","2007","Taeniatherum caput-medusae","Taeniatherum","Poaceae","Field","Nonwoody","Native","Self-Other","Aboveground","Field","Field","Community","Greenhouse","Whole soil","Alone","2","Author","-0.014598799","0.065821741","43.66316667","3.8095","43.66316667","14.2","700","0.4568","Nonwoody Field","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"865","Blank and Sforza 2007","2007","Taeniatherum caput-medusae","Taeniatherum","Poaceae","Field","Nonwoody","Native","Self-Other","Aboveground","Field","Field","Community","Greenhouse","Whole soil","Alone","2","Author","-1.373715579","0.034012712","43.66316667","3.8095","43.66316667","14.2","700","0.4568","Nonwoody Field","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"866","Blank and Sforza 2007","2007","Taeniatherum caput-medusae","Taeniatherum","Poaceae","Field","Nonwoody","Non-native","Self-Sterilized","Aboveground","Field","Field","Community","Greenhouse","Whole soil","Alone","2","Author","1.538563573","0.018643764","40.49866667","-120.111","40.49866667","6.8","230","0.1653","Nonwoody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"867","Blank and Sforza 2007","2007","Taeniatherum caput-medusae","Taeniatherum","Poaceae","Field","Nonwoody","Non-native","Self-Sterilized","Aboveground","Field","Field","Community","Greenhouse","Whole soil","Alone","2","Author","0.991769193","0.095484865","40.49866667","-120.111","40.49866667","6.8","230","0.1653","Nonwoody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"868","Casper and Castelli 2007","2007","Andropogon gerardii","Andropogon","Poaceae","Field","Nonwoody","Native","Self-Other","Aboveground","Field","Field","Community","Field","Whole soil","Alone","4","Figure 1","-0.887303195","0.02065179","39.73","-76.03","39.73","11.48333359","1150","0.9283","Nonwoody Field","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field. Direct field conditioning and in-situ feedback response support H1; the experimental approach does not support H0.","RECON-H1-FIELD-CONDITIONING-FIELD-FEEDBACK","H1","H1"
"869","Casper and Castelli 2007","2007","Andropogon gerardii","Andropogon","Poaceae","Field","Nonwoody","Native","Self-Other","Aboveground","Field","Field","Community","Field","Whole soil","Competition","4","Figure 1","-1.32175584","0.017347222","39.73","-76.03","39.73","11.48333359","1150","0.9283","Nonwoody Field","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field. Direct field conditioning and in-situ feedback response support H1; the experimental approach does not support H0.","RECON-H1-FIELD-CONDITIONING-FIELD-FEEDBACK","H1","H1"
"870","Casper and Castelli 2007","2007","Schizachyrium scoparium","Schizachyrium","Poaceae","Field","Nonwoody","Native","Self-Other","Aboveground","Field","Field","Community","Field","Whole soil","Alone","4","Figure 1","-0.570544858","0.04723549","39.73","-76.03","39.73","11.48333359","1150","0.9283","Nonwoody Field","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field. Direct field conditioning and in-situ feedback response support H1; the experimental approach does not support H0.","RECON-H1-FIELD-CONDITIONING-FIELD-FEEDBACK","H1","H1"
"871","Casper and Castelli 2007","2007","Schizachyrium scoparium","Schizachyrium","Poaceae","Field","Nonwoody","Native","Self-Other","Aboveground","Field","Field","Community","Field","Whole soil","Competition","4","Figure 1","-0.182321557","0.143180556","39.73","-76.03","39.73","11.48333359","1150","0.9283","Nonwoody Field","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field. Direct field conditioning and in-situ feedback response support H1; the experimental approach does not support H0.","RECON-H1-FIELD-CONDITIONING-FIELD-FEEDBACK","H1","H1"
"872","Casper and Castelli 2007","2007","Sorghastrum nutans","Sorghastrum","Poaceae","Field","Nonwoody","Native","Self-Other","Aboveground","Field","Field","Community","Field","Whole soil","Alone","4","Figure 1","-1.06784063","0.156340604","39.73","-76.03","39.73","11.48333359","1150","0.9283","Nonwoody Field","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field. Direct field conditioning and in-situ feedback response support H1; the experimental approach does not support H0.","RECON-H1-FIELD-CONDITIONING-FIELD-FEEDBACK","H1","H1"
"873","Casper and Castelli 2007","2007","Sorghastrum nutans","Sorghastrum","Poaceae","Field","Nonwoody","Native","Self-Other","Aboveground","Field","Field","Community","Field","Whole soil","Competition","4","Figure 1","-0.080042708","0.084181577","39.73","-76.03","39.73","11.48333359","1150","0.9283","Nonwoody Field","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field. Direct field conditioning and in-situ feedback response support H1; the experimental approach does not support H0.","RECON-H1-FIELD-CONDITIONING-FIELD-FEEDBACK","H1","H1"
"874","Van der Putten et al. 2007","2007","Aristida meridionalis","Aristida","Poaceae","Field","Nonwoody","Native","Self-Sterilized","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","3","Figure 1","0.855918603","0.675876986","-21.7","21.65","21.7","22.27083397","378","0.1415","Nonwoody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"875","Van der Putten et al. 2007","2007","Cenchrus biflorus","Cenchrus","Poaceae","Field","Nonwoody","Non-native","Self-Sterilized","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","3","Figure 1","0.640801808","0.127205566","-21.7","21.65","21.7","22.27083397","378","0.1415","Nonwoody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"876","van der Putten et al. 2007","2007","Eragrostis lehmanniana","Eragrostis","Poaceae","Field","Nonwoody","Native","Self-Sterilized","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","3","Figure 1","-0.225779922","0.050329068","-21.7","21.65","21.7","22.27083397","378","0.1415","Nonwoody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"877","Kulmatiski, unpubl. Data","2008","Balsamorhiza sagittata","Balsamorhiza","Asteraceae","Field","Nonwoody","Native","Self-Other","Aboveground","Field","Field","Community","Field","Whole soil","Competition","NA","Author ","2.172476408","0.014912106","48.45","-120.1833333","48.45","7.691666603","390","0.3141","Nonwoody Field","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field. Direct field conditioning and in-situ feedback response support H1; the experimental approach does not support H0.","RECON-H1-FIELD-CONDITIONING-FIELD-FEEDBACK","H1","H1"
"878","Kulmatiski, unpubl. Data","2008","Bromus tectorum","Bromus","Poaceae","Field","Nonwoody","Non-native","Self-Other","Aboveground","Field","Field","Community","Field","Whole soil","Competition","NA","Author ","1.102336688","0.014280436","48.45","-120.1833333","48.45","7.691666603","390","0.3141","Nonwoody Field","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field. Direct field conditioning and in-situ feedback response support H1; the experimental approach does not support H0.","RECON-H1-FIELD-CONDITIONING-FIELD-FEEDBACK","H1","H1"
"879","Kulmatiski, unpubl. Data","2008","Lupinus spp","Lupinus","Fabaceae","Field","Nonwoody","Native","Self-Other","Aboveground","Field","Field","Community","Field","Whole soil","Competition","NA","Author ","-0.599925619","0.012869033","48.45","-120.1833333","48.45","7.691666603","390","0.3141","Nonwoody Field","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field. Direct field conditioning and in-situ feedback response support H1; the experimental approach does not support H0.","RECON-H1-FIELD-CONDITIONING-FIELD-FEEDBACK","H1","H1"
"880","Kulmatiski, unpubl. Data","2008","Poa bulbosa","Poa","Poaceae","Field","Nonwoody","Non-native","Self-Other","Aboveground","Field","Field","Community","Field","Whole soil","Competition","NA","Author ","0.602079003","0.008225215","48.45","-120.1833333","48.45","7.691666603","390","0.3141","Nonwoody Field","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field. Direct field conditioning and in-situ feedback response support H1; the experimental approach does not support H0.","RECON-H1-FIELD-CONDITIONING-FIELD-FEEDBACK","H1","H1"
"881","Kulmatiski, unpubl. Data","2008","Pseudoroegneria spicata","Pseudoroegneria","Poaceae","Field","Nonwoody","Native","Self-Other","Aboveground","Field","Field","Community","Field","Whole soil","Competition","NA","Author ","0.460233838","0.015572005","48.45","-120.1833333","48.45","7.691666603","390","0.3141","Nonwoody Field","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field. Direct field conditioning and in-situ feedback response support H1; the experimental approach does not support H0.","RECON-H1-FIELD-CONDITIONING-FIELD-FEEDBACK","H1","H1"
"882","Kulmatiski, unpubl. Data","2008","Sisymbrium loeselii","Sisymbrium","Brassicaceae","Field","Nonwoody","Non-native","Self-Other","Aboveground","Field","Field","Community","Field","Whole soil","Competition","NA","Author ","0.819983614","0.009901153","48.45","-120.1833333","48.45","7.691666603","390","0.3141","Nonwoody Field","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field. Direct field conditioning and in-situ feedback response support H1; the experimental approach does not support H0.","RECON-H1-FIELD-CONDITIONING-FIELD-FEEDBACK","H1","H1"
"883","Petermann et al. 2008","2008","Arctium tomentosum","Arctium","Asteraceae","Field","Nonwoody","Native","Self-Sterilized","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","2","Authors","-0.948784565","0.056990482","47.43","8.52","47.43","9.579166412","1062","1.1708","Nonwoody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"884","Petermann et al. 2008","2008","Arctium tomentosum","Arctium","Asteraceae","Field","Nonwoody","Native","Self-Sterilized","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","2","Authors","-1.178188687","0.01976335","47.43","8.52","47.43","9.579166412","1062","1.1708","Nonwoody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"885","Petermann et al. 2008","2008","Arrhenatherum elatius","Arrhenatherum","Poaceae","Field","Nonwoody","Native","Self-Sterilized","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","2","Authors","-1.845928291","0.087468273","47.43","8.52","47.43","9.579166412","1062","1.1708","Nonwoody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"886","Petermann et al. 2008","2008","Arrhenatherum elatius","Arrhenatherum","Poaceae","Field","Nonwoody","Native","Self-Sterilized","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","2","Authors","-1.587970183","0.161446393","47.43","8.52","47.43","9.579166412","1062","1.1708","Nonwoody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"887","Petermann et al. 2008","2008","Berteroa incana","Berteroa","Brassicaceae","Field","Nonwoody","Native","Self-Sterilized","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","2","Authors","-0.701706434","0.124825599","47.43","8.52","47.43","9.579166412","1062","1.1708","Nonwoody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"888","Petermann et al. 2008","2008","Berteroa incana","Berteroa","Brassicaceae","Field","Nonwoody","Native","Self-Sterilized","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","2","Authors","-1.233531607","0.524972397","47.43","8.52","47.43","9.579166412","1062","1.1708","Nonwoody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"889","Petermann et al. 2008","2008","Bromus sterilis","Bromus","Poaceae","Field","Nonwoody","Native","Self-Sterilized","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","2","Authors","-1.88535291","0.055562275","47.43","8.52","47.43","9.579166412","1062","1.1708","Nonwoody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"890","Petermann et al. 2008","2008","Bromus sterilis","Bromus","Poaceae","Field","Nonwoody","Native","Self-Sterilized","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","2","Authors","-1.412312089","0.02303982","47.43","8.52","47.43","9.579166412","1062","1.1708","Nonwoody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"891","Petermann et al. 2008","2008","Centaurea jacea","Centaurea","Asteraceae","Field","Nonwoody","Native","Self-Sterilized","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","2","Authors","-1.172897928","0.150379371","47.43","8.52","47.43","9.579166412","1062","1.1708","Nonwoody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"892","Petermann et al. 2008","2008","Centaurea jacea","Centaurea","Asteraceae","Field","Nonwoody","Native","Self-Sterilized","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","2","Authors","-1.475768484","0.060817582","47.43","8.52","47.43","9.579166412","1062","1.1708","Nonwoody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"893","Petermann et al. 2008","2008","Dactylis glomerata","Dactylis","Poaceae","Field","Nonwoody","Native","Self-Sterilized","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","2","Authors","-2.832158182","0.214532071","47.43","8.52","47.43","9.579166412","1062","1.1708","Nonwoody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"894","Petermann et al. 2008","2008","Dactylis glomerata","Dactylis","Poaceae","Field","Nonwoody","Native","Self-Sterilized","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","2","Authors","-1.557652613","0.0365956","47.43","8.52","47.43","9.579166412","1062","1.1708","Nonwoody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"895","Petermann et al. 2008","2008","Echinochloa crus-galli","Echinochloa","Poaceae","Field","Nonwoody","Non-native","Self-Sterilized","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","2","Authors","-4.308450104","0.070634429","47.43","8.52","47.43","9.579166412","1062","1.1708","Nonwoody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"896","Petermann et al. 2008","2008","Echinochloa crus-galli","Echinochloa","Poaceae","Field","Nonwoody","Non-native","Self-Sterilized","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","2","Authors","-2.173514098","0.17469931","47.43","8.52","47.43","9.579166412","1062","1.1708","Nonwoody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"897","Petermann et al. 2008","2008","Festuca rubra","Festuca","Poaceae","Field","Nonwoody","Native","Self-Sterilized","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","2","Authors","-2.350039252","0.023134013","47.43","8.52","47.43","9.579166412","1062","1.1708","Nonwoody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"898","Petermann et al. 2008","2008","Festuca rubra","Festuca","Poaceae","Field","Nonwoody","Native","Self-Sterilized","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","2","Authors","-1.366547598","0.207402091","47.43","8.52","47.43","9.579166412","1062","1.1708","Nonwoody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"899","Petermann et al. 2008","2008","Galium mollugo","Galium","Rubiaceae","Field","Nonwoody","Native","Self-Sterilized","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","2","Authors","-1.988007336","0.071101153","47.43","8.52","47.43","9.579166412","1062","1.1708","Nonwoody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"900","Petermann et al. 2008","2008","Galium mollugo","Galium","Rubiaceae","Field","Nonwoody","Native","Self-Sterilized","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","2","Authors","-1.208158662","0.027942207","47.43","8.52","47.43","9.579166412","1062","1.1708","Nonwoody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"901","Petermann et al. 2008","2008","Holcus lanatus","Holcus","Poaceae","Field","Nonwoody","Native","Self-Sterilized","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","2","Authors","-1.767254652","0.013402852","47.43","8.52","47.43","9.579166412","1062","1.1708","Nonwoody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"902","Petermann et al. 2008","2008","Holcus lanatus","Holcus","Poaceae","Field","Nonwoody","Native","Self-Sterilized","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","2","Authors","-1.558262884","0.042815897","47.43","8.52","47.43","9.579166412","1062","1.1708","Nonwoody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"903","Petermann et al. 2008","2008","Hordeum murinum","Hordeum","Poaceae","Field","Nonwoody","Native","Self-Sterilized","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","2","Authors","-1.859166761","0.046580399","47.43","8.52","47.43","9.579166412","1062","1.1708","Nonwoody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"904","Petermann et al. 2008","2008","Hordeum murinum","Hordeum","Poaceae","Field","Nonwoody","Native","Self-Sterilized","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","2","Authors","-2.609822605","0.097368813","47.43","8.52","47.43","9.579166412","1062","1.1708","Nonwoody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
